"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","597D158X9004R2T","http://www.vishay.com/doc?40047","ta-expt-v2-100:CAPPC5660X400N","1",""
"C2","GRM188C71A475KE21D","","ta-expt-v2-100:CAPC1608X90N","1",""
"C3,C4,C6,C8","0603ZA220JAT2A","https://componentsearchengine.com/Datasheets/1/06031A100FAT2A.pdf","ta-expt-v2-100:CAPC1608X90N","4",""
"C5","GRM1857U1A103JA44D","https://psearch.en.murata.com/capacitor/product/GRM1857U1A103JA44%23.html","ta-expt-v2-100:CAPC1608X50N","1",""
"C7,C10,C11,C13,C14,C15,C16,C17","0603ZC104JAT2A","https://componentsearchengine.com/Datasheets/1/06031A100FAT2A.pdf","ta-expt-v2-100:CAPC1608X90N","8",""
"C9,C12","0603ZC105JAT2A","https://componentsearchengine.com/Datasheets/1/06031A100FAT2A.pdf","ta-expt-v2-100:CAPC1608X90N","2",""
"C18,C19","1uF","~","ta-expt-v2-100:CAPC1608X90N","2",""
"FB1","MMZ1608S601ATD25","https://datasheet.datasheetarchive.com/originals/dk/DKDS-25/489214.pdf","ta-expt-v2-100:BEADC1608X95N","1",""
"IC1","BAR43SFILM","https://www.mouser.com/ProductDetail/511-BAR43SFILM","ta-expt-v2-100:SOTFL50P160X78-3N","1",""
"IC2","SI4056ADY-T1-GE3","https://www.mouser.com/ProductDetail/78-SI4056ADY-T1-GE3","ta-expt-v2-100:SOIC127P600X175-8N","1",""
"IC3","STM32L496VGT3","https://www.mouser.com/ProductDetail/511-STM32L496VGT3","QFP50P1600X1600X160-100N","1",""
"IC4","IS25LP128F-JBLA3","http://www.issi.com/WW/pdf/25LP-WP128F.pdf","ta-expt-v2-100:SOIC127P790X216-8N","1",""
"J1,J4","Conn_01x05","~","ta-expt-v2-100:PinSocket_1x5_TartanArtibeus","2",""
"J2,J6,J7","Conn_01x04","~","-- mixed values --","3",""
"J3","USB_C_Receptacle_USB2.0","https://www.mouser.com/ProductDetail/Adafruit/4458?qs=xZ%2FP%252Ba9zWqYgb2BJNda6mA%3D%3D","Connector_USB:USB_C_Receptacle_XKB_U262-16XN-4BVC11","1",""
"J5","4-174639-8","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Customer+Drawing%7F174639%7FP3%7Fpdf%7FEnglish%7FENG_CD_174639_P3.pdf%7F4-174639-8","ta-expt-v2-100:41746398","1",""
"J8,J9","Conn_01x16","~","ta-expt-v2-100:PinSocket_1x16_TartanArtibeus","2",""
"LED1,LED2","LG_Q396-PS-35","https://mouser.componentsearchengine.com/Datasheets/2/LG%20Q396-PS-35.pdf","ta-expt-v2-100:LGQ396PS35","2",""
"R1,R2,R6","MCT06030C1001FP500","http://www.vishay.com/docs/28705/mcx0x0xpro.pdf","ta-expt-v2-100:RESC1608X55N","3",""
"R3,R4,R5,R7","MCT06030C1002FP500","http://www.vishay.com/docs/28705/mcx0x0xpro.pdf","ta-expt-v2-100:RESC1608X55N","4",""
"R8,R9","5.1k","MCT06030C5101FP500","ta-expt-v2-100:RESC1608X55N","2",""
"U1","TPS7A0533PDBV","https://www.ti.com/lit/ds/symlink/tps7a05.pdf","Package_TO_SOT_SMD:SOT-23-5","1",""
"Y1","ABM8AIG-16.000MHZ-12-2Z-T","https://abracon.com/AIGcrystals/ABM8AIG.pdf","ta-expt-v2-100:ABM8AIG25000MHZ122ZT3","1",""
"Y2","ABS07AIG-32.768kHz-T","https://abracon.com/AIGcrystals/ABS07AIG.pdf","ta-expt-v2-100:ABS07AIG32768kHz71T","1",""
